timestamp_s,watts,timestamp_hr
0,0.9,0
900,0.9,0.25
1800,0.9,0.5
2700,0.9,0.75
3600,0.9,1
4500,0.9,1.25
5400,0.9,1.5
6300,0.9,1.75
7200,0.9,2
8100,0.9,2.25
9000,0.9,2.5
9900,0.9,2.75
10800,0.9,3
11700,0.9,3.25
12600,0.9,3.5
13500,0.9,3.75
14400,0.9,4
15300,0.9,4.25
16200,0.9,4.5
17100,0.9,4.75
18000,0.9,5
18900,0.9,5.25
19800,0.9,5.5
20700,0.9,5.75
21600,0.9,6
22500,0.9,6.25
23400,0.9,6.5
24300,0.9,6.75
25200,0.9,7
26100,0.9,7.25
27000,0.9,7.5
27900,0.9,7.75
28800,0.9,8
29700,0.9,8.25
30600,0.9,8.5
31500,0.9,8.75
32400,0.9,9
33300,0.9,9.25
34200,0.9,9.5
35100,0.9,9.75
36000,0.9,10
36900,0.9,10.25
37800,0.9,10.5
38700,0.9,10.75
39600,0.9,11
40500,0.9,11.25
41400,0.9,11.5
42300,0.9,11.75
43200,0.9,12
44100,0.9,12.25
45000,0.9,12.5
45900,0.9,12.75
46800,0.9,13
47700,0.9,13.25
48600,0.9,13.5
49500,0.9,13.75
50400,0.9,14
51300,0.9,14.25
52200,0.9,14.5
53100,0.9,14.75
54000,0.9,15
54900,0.9,15.25
55800,0.9,15.5
56700,0.9,15.75
57600,0.9,16
58500,0.9,16.25
59400,0.9,16.5
60300,0.9,16.75
61200,0.9,17
62100,0.9,17.25
63000,0.9,17.5
63900,0.9,17.75
64800,0.9,18
65700,0.9,18.25
66600,0.9,18.5
67500,0.9,18.75
68400,0.9,19
69300,0.9,19.25
70200,0.9,19.5
71100,0.9,19.75
72000,0.9,20
72900,0.9,20.25
73800,0.9,20.5
74700,0.9,20.75
75600,0.9,21
76500,0.9,21.25
77400,0.9,21.5
78300,0.9,21.75
79200,0.9,22
80100,0.9,22.25
81000,0.9,22.5
81900,0.9,22.75
82800,0.9,23
83700,0.9,23.25
84600,0.9,23.5
85500,0.9,23.75
86400,0.9,24
