timestamp_s,timestamp_hr,day_of_week,watts
0,0.0,0,
900,0.25,0,
1800,0.5,0,
2700,0.75,0,
3600,1.0,0,
4500,1.25,0,
5400,1.5,0,
6300,1.75,0,
7200,2.0,0,
8100,2.25,0,
9000,2.5,0,
9900,2.75,0,
10800,3.0,0,
11700,3.25,0,
12600,3.5,0,
13500,3.75,0,
14400,4.0,0,
15300,4.25,0,
16200,4.5,0,
17100,4.75,0,
18000,5.0,0,
18900,5.25,0,
19800,5.5,0,
20700,5.75,0,
21600,6.0,0,
22500,6.25,0,
23400,6.5,0,
24300,6.75,0,
25200,7.0,0,
26100,7.25,0,
27000,7.5,0,
27900,7.75,0,
28800,8.0,0,
29700,8.25,0,
30600,8.5,0,
31500,8.75,0,
32400,9.0,0,
33300,9.25,0,
34200,9.5,0,
35100,9.75,0,
36000,10.0,0,
36900,10.25,0,
37800,10.5,0,
38700,10.75,0,
39600,11.0,0,
40500,11.25,0,
41400,11.5,0,
42300,11.75,0,
43200,12.0,0,
44100,12.25,0,
45000,12.5,0,
45900,12.75,0,
46800,13.0,0,
47700,13.25,0,
48600,13.5,0,
49500,13.75,0,
50400,14.0,0,
51300,14.25,0,
52200,14.5,0,
53100,14.75,0,
54000,15.0,0,
54900,15.25,0,
55800,15.5,0,
56700,15.75,0,
57600,16.0,0,
58500,16.25,0,
59400,16.5,0,
60300,16.75,0,
61200,17.0,0,
62100,17.25,0,
63000,17.5,0,
63900,17.75,0,
64800,18.0,0,
65700,18.25,0,
66600,18.5,0,
67500,18.75,0,
68400,19.0,0,
69300,19.25,0,
70200,19.5,0,
71100,19.75,0,
72000,20.0,0,
72900,20.25,0,
73800,20.5,0,
74700,20.75,0,
75600,21.0,0,
76500,21.25,0,
77400,21.5,0,
78300,21.75,0,
79200,22.0,0,
80100,22.25,0,
81000,22.5,0,
81900,22.75,0,
82800,23.0,0,
83700,23.25,0,
84600,23.5,0,
85500,23.75,0,
86400,24.0,1,
87300,24.25,1,
88200,24.5,1,
89100,24.75,1,
90000,25.0,1,
90900,25.25,1,
91800,25.5,1,
92700,25.75,1,
93600,26.0,1,
94500,26.25,1,
95400,26.5,1,
96300,26.75,1,
97200,27.0,1,
98100,27.25,1,
99000,27.5,1,
99900,27.75,1,
100800,28.0,1,
101700,28.25,1,
102600,28.5,1,
103500,28.75,1,
104400,29.0,1,
105300,29.25,1,
106200,29.5,1,
107100,29.75,1,
108000,30.0,1,
108900,30.25,1,
109800,30.5,1,
110700,30.75,1,
111600,31.0,1,
112500,31.25,1,
113400,31.5,1,
114300,31.75,1,
115200,32.0,1,
116100,32.25,1,
117000,32.5,1,
117900,32.75,1,
118800,33.0,1,
119700,33.25,1,
120600,33.5,1,
121500,33.75,1,
122400,34.0,1,
123300,34.25,1,
124200,34.5,1,
125100,34.75,1,
126000,35.0,1,
126900,35.25,1,
127800,35.5,1,
128700,35.75,1,
129600,36.0,1,
130500,36.25,1,
131400,36.5,1,
132300,36.75,1,
133200,37.0,1,
134100,37.25,1,
135000,37.5,1,
135900,37.75,1,
136800,38.0,1,
137700,38.25,1,
138600,38.5,1,
139500,38.75,1,
140400,39.0,1,
141300,39.25,1,
142200,39.5,1,
143100,39.75,1,
144000,40.0,1,
144900,40.25,1,
145800,40.5,1,
146700,40.75,1,
147600,41.0,1,
148500,41.25,1,
149400,41.5,1,
150300,41.75,1,
151200,42.0,1,
152100,42.25,1,
153000,42.5,1,
153900,42.75,1,
154800,43.0,1,
155700,43.25,1,
156600,43.5,1,
157500,43.75,1,
158400,44.0,1,
159300,44.25,1,
160200,44.5,1,
161100,44.75,1,
162000,45.0,1,
162900,45.25,1,
163800,45.5,1,
164700,45.75,1,
165600,46.0,1,
166500,46.25,1,
167400,46.5,1,
168300,46.75,1,
169200,47.0,1,
170100,47.25,1,
171000,47.5,1,
171900,47.75,1,
172800,48.0,2,
173700,48.25,2,
174600,48.5,2,
175500,48.75,2,
176400,49.0,2,
177300,49.25,2,
178200,49.5,2,
179100,49.75,2,
180000,50.0,2,
180900,50.25,2,
181800,50.5,2,
182700,50.75,2,
183600,51.0,2,
184500,51.25,2,
185400,51.5,2,
186300,51.75,2,
187200,52.0,2,
188100,52.25,2,
189000,52.5,2,
189900,52.75,2,
190800,53.0,2,
191700,53.25,2,
192600,53.5,2,
193500,53.75,2,
194400,54.0,2,
195300,54.25,2,
196200,54.5,2,
197100,54.75,2,
198000,55.0,2,
198900,55.25,2,
199800,55.5,2,
200700,55.75,2,
201600,56.0,2,
202500,56.25,2,
203400,56.5,2,
204300,56.75,2,
205200,57.0,2,
206100,57.25,2,
207000,57.5,2,
207900,57.75,2,
208800,58.0,2,
209700,58.25,2,
210600,58.5,2,
211500,58.75,2,
212400,59.0,2,
213300,59.25,2,
214200,59.5,2,
215100,59.75,2,
216000,60.0,2,
216900,60.25,2,
217800,60.5,2,
218700,60.75,2,
219600,61.0,2,
220500,61.25,2,
221400,61.5,2,
222300,61.75,2,
223200,62.0,2,
224100,62.25,2,
225000,62.5,2,
225900,62.75,2,
226800,63.0,2,
227700,63.25,2,
228600,63.5,2,
229500,63.75,2,
230400,64.0,2,
231300,64.25,2,
232200,64.5,2,
233100,64.75,2,
234000,65.0,2,
234900,65.25,2,
235800,65.5,2,
236700,65.75,2,
237600,66.0,2,
238500,66.25,2,
