Capacity (GW),LMP
0.5,0.5174468848733368
0.6,0.5424805518611587
0.7,0.5425215749301834
0.8,0.550089769729379
0.9,0.5614595680791038
1.0,0.583605433519251
1.1,0.5952612273143426
1.2,0.6755292760342343
1.3,0.6808717955681634
1.4,0.7246346916412257
1.5,1.3506281071850907
1.6,2.73074703672071
1.7,2.8068674569116303
1.8,2.927750322088261
1.9,4.388577629749017
2.0,4.388586753052329
2.1,4.388577549373818
2.2,4.407911049343364
2.3,4.408807200810671
2.4,4.412106288014121
2.5,4.413261969726335
2.6,4.646204800037617
2.7,4.6524860141482
2.8,4.652603777920409
2.9,5.100496095136054
3.0,5.100633988940694
3.1,5.209310988187887
3.2,5.706280989489099
3.3,5.710977799518992
3.4,5.927754220474232
3.5,5.9393620581783555
3.6,5.945475458931339
3.7,5.95867031119401
3.8,6.162379370170979
3.9,6.765612105956707
4.0,6.766008191795717
4.1,6.93965435236166
4.2,6.939654434900515
4.3,6.939653465420961
4.4,6.941373834132811
4.5,6.948588738799609
4.6,6.948588732584732
4.7,6.948055462853803
4.8,6.948055963200857
4.9,7.076650927328133
