Capacity (GW),LMP
2.25,2.462085014125027
2.35,2.4834164211641707
2.45,2.7061197615979693
2.55,2.7873402713868285
2.65,4.344639619260468
2.75,4.344345394950118
2.85,4.355868412134221
2.95,4.355472141364308
3.05,4.381718256608484
3.15,4.38630399401948
3.25,4.399156965439268
3.35,4.370970260313416
3.45,4.386740433626747
3.55,4.3892526660933395
3.65,4.391280417346368
3.75,4.4162683684041895
3.85,4.561497092717087
3.95,4.561497267989015
4.05,4.563094553872943
4.15,4.7453654450583045
4.25,4.756737754387499
4.35,4.745013108188096
4.45,4.762807688292573
4.55,4.784817751949048
4.65,4.805821928585452
4.75,4.839530948594361
4.85,5.072807143562979
4.95,5.294958271857938
5.05,5.300940310499968
5.15,5.309967141136944
