,county_fips,terminal,land_usd2017_per_acre
0,53067,0,6560.4122298775865
1,53057,1,1483.935469071938
2,53035,2,18522.61675229043
3,53033,3,6376.282893
4,53007,4,1519.1332283774236
5,53053,5,5844.062286824703
6,53061,6,2345.837613413978
7,00nan,7,
8,06107,8,1908.2731873332264
9,06111,9,2014.8367033535897
10,06037,10,5933.766620790642
11,06025,11,271.4807596285514
12,06071,12,385.6827266322763
13,00nan,13,
14,06065,14,522.8284501878467
15,06071,15,385.6827266322763
16,06037,16,5933.766620790642
17,06051,17,1771.3594385828435
18,06071,18,385.6827266322763
19,06037,19,5933.766620790642
20,06065,20,522.8284501878467
21,06029,21,1434.7655911096874
22,06071,22,385.6827266322763
23,06065,23,522.8284501878467
24,06059,24,186034.9387176999
25,06029,25,1434.7655911096874
26,06037,26,5933.766620790642
27,06029,27,1434.7655911096874
28,06037,28,5933.766620790642
29,06073,29,5048.833908820363
30,06073,30,5048.833908820363
31,06073,31,5048.833908820363
32,32001,32,207.09279407291723
33,32003,33,2518.0488067799056
34,32003,34,2518.0488067799056
35,32003,35,2518.0488067799056
36,16055,36,2022.2075688615173
37,16015,37,1211.0569665468693
38,16005,38,3554.755275481174
39,30063,39,1553.1130826984902
40,30045,40,691.5790907783933
41,53041,41,3082.5809725119952
42,53005,42,1459.7495752410352
43,30111,43,444.8343312926965
44,56035,44,6317.732848010489
45,56033,45,800.6319368596724
46,56005,46,998.2224954
47,56001,47,1054.8349373775627
48,49035,48,17391.41293204822
49,49021,49,2040.9757731231753
50,49003,50,361.9139344261163
51,49015,51,2214.615385592315
52,49013,52,2395.675713091501
53,04015,53,1177.8778675500205
54,04025,54,3597.055512446551
55,04013,55,4187.0037030137555
56,04027,56,1102.5179821366205
57,04003,57,2034.4055044151305
58,04013,58,4187.0037030137555
59,04017,59,828.9117132083961
60,04005,60,1281.934981314569
61,04005,61,1281.934981314569
62,04021,62,4080.077576
63,04009,63,1569.021726338193
64,04001,64,1452.8789494656778
65,53043,65,924.0879501210978
66,04019,66,2639.690388891908
67,35061,67,2508.155320832143
68,08059,68,15447.795830525272
69,08037,69,10194.72388386862
70,08031,70,188602.14666552484
71,08077,71,1631.631809940387
72,08075,72,494.93558182290127
73,08069,73,4878.353990558123
74,08043,74,1820.4164561641064
75,53025,75,1349.3500144406412
76,41067,76,10097.191168744042
77,41003,77,5113.324393624881
78,41059,78,983.4233959564208
79,41031,79,2315.639543506665
80,48141,80,5699.116363986798
81,41019,81,2708.041898558136
82,41025,82,314.74784435001914
83,06093,83,1165.2114775385803
84,06085,84,9057.963077039423
85,06067,85,16768.82353
86,06089,86,1580.7110352376033
87,06077,87,13714.903108638686
88,06053,88,3148.0083833908893
89,06017,89,3756.002365300824
90,06075,90,554238.4438514587
91,06095,91,6679.827678585245
92,00nan,92,
93,00nan,93,
94,06019,94,2315.5534188359165
95,00nan,95,
96,06001,96,22332.61353273319
97,06099,97,7626.958639037825
98,06007,98,3970.346276734055
99,06097,99,14038.415495045449
100,06079,100,2543.8631871647067
